paper_id,doi,title,authors,year,journal,source_db,category,is_fraud,fraud_confidence,fraud_types,retraction_date,retraction_reason,pubpeer_url,stat_audit_score,figure_forensics_score,methodology_score,citation_score,reproducibility_score,novelty_score,grim_score,sprite_score,granularity_score,pcurve_score,effect_size_score,retraction_score,cartel_score,llm_score,overall_risk_score,abstract_text,full_text_path,field_of_study,labeling_method,labeled_by,notes
SPB-0289,10.3390/nu14020348,The Role of Diet in Prognosis among Cancer Survivors: A Systematic Review and Meta-Analysis of Dietary Patterns and Diet Interventions.,"Castro-Espin Carlota, Agudo Antonio",2022,Nutrients,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Cancer survival continues to improve in high-income countries, partly explained by advances in screening and treatment. Previous studies have mainly examined the relationship between individual dietary components and cancer prognosis in tumours with good therapeutic response (breast, colon and prostate cancers). The aim of this review is to assess qualitatively (and quantitatively where appropriate) the associations of dietary patterns and cancer prognosis from published prospective cohort studies, as well as the effect of diet interventions by means of randomised controlled trials (RCT). A systematic search was conducted in PubMed, and a total of 35 prospective cohort studies and 14 RCT published between 2011 and 2021 were selected. Better overall diet quality was associated with improved survival among breast and colorectal cancer survivors; adherence to the Mediterranean diet was associated to lower risk of mortality in colorectal and prostate cancer survivors. A meta-analysis using",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:35057525
SPB-0290,10.1161/CIRCULATIONAHA.121.056355,Direct Oral Anticoagulants Versus Warfarin in Patients With Atrial Fibrillation: Patient-Level Network Meta-Analyses of Randomized Clinical Trials With Interaction Testing by Age and Sex.,"Carnicelli Anthony P, Hong Hwanhee, Connolly Stuart J, Eikelboom John, Giugliano Robert P, et al.",2022,Circulation,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Direct oral anticoagulants (DOACs) are preferred over warfarin for stroke prevention in atrial fibrillation. Meta-analyses using individual patient data offer substantial advantages over study-level data. We used individual patient data from the COMBINE AF (A Collaboration Between Multiple Institutions to Better Investigate Non-Vitamin K Antagonist Oral Anticoagulant Use in Atrial Fibrillation) database, which includes all patients randomized in the 4 pivotal trials of DOACs versus warfarin in atrial fibrillation (RE-LY [Randomized Evaluation of Long-Term Anticoagulation Therapy], ROCKET AF [Rivaroxaban Once Daily Oral Direct Factor Xa Inhibition Compared With Vitamin K Antagonism for Prevention of Stroke and Embolism Trial in Atrial Fibrillation], ARISTOTLE [Apixaban for Reduction in Stroke and Other Thromboembolic Events in Atrial Fibrillation], and ENGAGE AF-TIMI 48 [Effective Anticoagulation With Factor Xa Next Generation in Atrial Fibrillation-Thrombolysis in Myocardial Infarction",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:34985309
SPB-0291,10.1037/ocp0000146,A systematic review and meta-analysis of workplace mindfulness training randomized controlled trials.,"Bartlett Larissa, Martin Angela, Neil Amanda L, Memish Kate, Otahal Petr, et al.",2019,Journal of occupational health psychology,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"This meta-analytic review responds to promises in the research literature and public domain about the benefits of workplace mindfulness training. It synthesizes randomized controlled trial evidence from workplace-delivered training for changes in mindfulness, stress, mental health, well-being, and work performance outcomes. Going beyond extant reviews, this article explores the influence of variability in workforce and intervention characteristics for reducing perceived stress. Meta-effect estimates (Hedge's g) were computed using data from 23 studies. Results indicate beneficial effects following training for mindfulness (g = 0.45, p < .001) and stress (g = 0.56, p < .001), anxiety (g = 0.62, p < .001) and psychological distress (g = 0.69, p < .001), and for well-being (g = 0.46, p = .002) and sleep (g = 0.26, p = .003). No conclusions could be drawn from pooled data for burnout due to ambivalence in results, for depression due to publication bias, or for work performance due to insuf",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:30714811
SPB-0292,10.2519/jospt.2017.7096,The Effectiveness of Trigger Point Dry Needling for Musculoskeletal Conditions by Physical Therapists: A Systematic Review and Meta-analysis.,"Gattie Eric, Cleland Joshua A, Snodgrass Suzanne",2017,The Journal of orthopaedic and sports physical therapy,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Study Design Systematic review and meta-analysis. Background An increasing number of physical therapists in the United States and throughout the world are using dry needling to treat musculoskeletal pain. Objective To examine the short- and long-term effectiveness of dry needling delivered by a physical therapist for any musculoskeletal pain condition. Methods Electronic databases were searched. Eligible randomized controlled trials included those with human subjects who had musculoskeletal conditions that were treated with dry needling performed by a physical therapist, compared with a control or other intervention. The overall quality of the evidence was assessed using the Grading of Recommendations Assessment, Development and Evaluation. Results The initial search returned 218 articles. After screening, 13 were included. Physiotherapy Evidence Database quality scale scores ranged from 4 to 9 (out of a maximum score of 10), with a median score of 7. Eight meta-analyses were performed",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:28158962
SPB-0293,10.1038/s41440-023-01467-9,Effects of aerobic exercise on blood pressure in patients with hypertension: a systematic review and dose-response meta-analysis of randomized trials.,"Jabbarzadeh Ganjeh Bahareh, Zeraattalab-Motlagh Sheida, Jayedi Ahmad, Daneshvar Mojtaba, Gohari Zahra, et al.",2024,Hypertension research : official journal of the Japanese Society of Hypertension,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"We aimed to evaluate the dose-dependent effects of aerobic exercise on systolic (SBP) and diastolic blood pressure (DBP) and haemodynamic factors in adults with hypertension. PubMed, Scopus, and Web of Science were searched to April 2022 for randomized trials of aerobic exercise in adults with hypertension. We conducted a random-effects meta-analysis to estimate mean differences (MDs) and 95%CIs for each 30 min/week increase in aerobic exercise. The certainty of evidence was rated using the GRADE approach. The analysis of 34 trials with 1787 participants indicated that each 30 min/week aerobic exercise reduced SBP by 1.78 mmHg (95%CI: -2.22 to -1.33; n = 34, GRADE=low), DBP by 1.23 mmHg (95%CI: -1.53 to -0.93; n = 34, GRADE=moderate), resting heart rate (MD = -1.08 bpm, 95%CI: -1.46 to -0.71; n = 23, GRADE=low), and mean arterial pressure (MD = -1.37 mmHg, 95%CI: -1.80 to -0.93; n = 9, GRADE = low). A nonlinear dose-dependent decrement was seen on SBP and DBP, with the greatest decreme",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:37872373
SPB-0294,10.3389/fimmu.2023.1143548,Probiotics fortify intestinal barrier function: a systematic review and meta-analysis of randomized trials.,"Zheng Yanfei, Zhang Zengliang, Tang Ping, Wu Yuqi, Zhang Anqi, et al.",2023,Frontiers in immunology,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Probiotics play a vital role in treating immune and inflammatory diseases by improving intestinal barrier function; however, a comprehensive evaluation is missing. The present study aimed to explore the impact of probiotics on the intestinal barrier and related immune function, inflammation, and microbiota composition. A systematic review and meta-analyses were conducted. Four major databases (PubMed, Science Citation Index Expanded, CENTRAL, and Embase) were thoroughly searched. Weighted mean differences were calculated for continuous outcomes with corresponding 95% confidence intervals (CIs), heterogeneity among studies was evaluated utilizing I2 statistic (Chi-Square test), and data were pooled using random effects meta-analyses. Meta-analysis of data from a total of 26 RCTs (n = 1891) indicated that probiotics significantly improved gut barrier function measured by levels of TER (MD, 5.27, 95% CI, 3.82 to 6.72, P < 0.00001), serum zonulin (SMD, -1.58, 95% CI, -2.49 to -0.66, P = 0.",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:37168869
SPB-0295,10.1016/j.ijnurstu.2021.103976,Repositioning for pressure injury prevention in adults: An abridged Cochrane systematic review and meta-analysis.,"Gillespie Brigid M, Walker Rachel M, Latimer Sharon L, Thalib Lukman, Whitty Jennifer A, et al.",2021,International journal of nursing studies,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"A pressure injury is an area of localised damage to the skin and underlying tissues. Patient repositioning is an important prevention strategy, as those with limited mobility are at increased risk of developing pressure injury. To assess the clinical and cost-effectiveness of repositioning schedules on the prevention of pressure injury in adults. Systematic review and meta-analysis. The Cochrane Wounds Specialised Register; the Cochrane Central Register of Controlled Trials; MEDLINE (Ovid); Embase (Ovid) and Cumulative Index of Nursing and Allied Health Literature Plus (EBSCO) were searched in February 2019. No restrictions were applied to language or date of publication. Studies were eligible if they were randomised controlled trials including cluster trials, published or unpublished, and undertaken in any healthcare setting that assessed the clinical and/or cost effectiveness of repositioning schedules for prevention of pressure injury in adults. Methodological quality of the studies",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:34090235
SPB-0296,10.1177/03331024231159366,Evaluating the efficacy of CGRP mAbs and gepants for the preventive treatment of migraine: A systematic review and network meta-analysis of phase 3 randomised controlled trials.,"Haghdoost Faraidoon, Puledda Francesca, Garcia-Azorin David, Huessler Eva-Maria, Messina Roberta, et al.",2023,Cephalalgia : an international journal of headache,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Several novel treatments targeting the calcitonin gene-related peptide pathway have been developed for migraine. We evaluated the efficacy of these medications, including atogepant, rimegepant, erenumab, eptinezumab, fremanezumab, and galcanezumab, for the prevention of migraine via network meta-analysis. Databases, including MEDLINE via PubMed, EMBASE, and Cochrane central, were systematically reviewed, and all eligible phase 3 randomised controlled trials were included. Nineteen studies (n = 14,584 participants) were included. Studies included episodic (n = 11) and chronic (n = 4) migraine or both (n = 4). All interventions, except for eptinzumab 30 mg, significantly reduced mean monthly migraine days compared to placebo. All medications had a higher ≥50% responder rate than placebo and results were statistically significant in those with the subcutaneous or intravenous route of administrations, but not with the oral one. All medications significantly reduced mean monthly headache da",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:36855951
SPB-0297,10.1177/2047487317739978,Psychological interventions for coronary heart disease: Cochrane systematic review and meta-analysis.,"Richards Suzanne H, Anderson Lindsey, Jenkinson Caroline E, Whalley Ben, Rees Karen, et al.",2018,European journal of preventive cardiology,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Background Although psychological interventions are recommended for the management of coronary heart disease (CHD), there remains considerable uncertainty regarding their effectiveness. Design Systematic review and meta-analysis of randomised controlled trials (RCTs) of psychological interventions for CHD. Methods The Cochrane Central Register of Controlled Trials, MEDLINE, EMBASE, CINAHL and PsycINFO were searched to April 2016. Retrieved papers, systematic reviews and trial registries were hand-searched. We included RCTs with at least 6 months of follow-up, comparing the direct effects of psychological interventions to usual care for patients following myocardial infarction or revascularisation or with a diagnosis of angina pectoris or CHD defined by angiography. Two authors screened titles for inclusion, extracted data and assessed risk of bias. Studies were pooled using random effects meta-analysis and meta-regression was used to explore study-level predictors. Results Thirty-five ",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:29212370
SPB-0298,10.1002/14651858.CD001751.pub3,Nonsteroidal anti-inflammatory drugs for dysmenorrhoea.,"Marjoribanks Jane, Ayeleke Reuben Olugbenga, Farquhar Cindy, Proctor Michelle",2015,The Cochrane database of systematic reviews,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Dysmenorrhoea is a common gynaecological problem consisting of painful cramps accompanying menstruation, which in the absence of any underlying abnormality is known as primary dysmenorrhoea. Research has shown that women with dysmenorrhoea have high levels of prostaglandins, hormones known to cause cramping abdominal pain. Nonsteroidal anti-inflammatory drugs (NSAIDs) are drugs that act by blocking prostaglandin production. They inhibit the action of cyclooxygenase (COX), an enzyme responsible for the formation of prostaglandins. The COX enzyme exists in two forms, COX-1 and COX-2. Traditional NSAIDs are considered 'non-selective' because they inhibit both COX-1 and COX-2 enzymes. More selective NSAIDs that solely target COX-2 enzymes (COX-2-specific inhibitors) were launched in 1999 with the aim of reducing side effects commonly reported in association with NSAIDs, such as indigestion, headaches and drowsiness. To determine the effectiveness and safety of NSAIDs in the treatment of pr",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:26224322
