paper_id,doi,title,authors,year,journal,source_db,category,is_fraud,fraud_confidence,fraud_types,retraction_date,retraction_reason,pubpeer_url,stat_audit_score,figure_forensics_score,methodology_score,citation_score,reproducibility_score,novelty_score,grim_score,sprite_score,granularity_score,pcurve_score,effect_size_score,retraction_score,cartel_score,llm_score,overall_risk_score,abstract_text,full_text_path,field_of_study,labeling_method,labeled_by,notes
SPB-0001,10.1159/000546362,Fenbendazole as an Anticancer Agent? A Case Series of Self-Administration in Three Patients.,"Makis William, Baghli Ilyes, Martinez Pierrick",2025,Case reports in oncology,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,"Fenbendazole (FBZ), an inexpensive and widely accessible antiparasitic drug used in veterinary medicine, has garnered growing interest for its potential as an anticancer therapy. Preclinical studies suggest that FBZ exerts its anticancer effects through a wide variety of mechanisms. While FBZ has shown promise both in vitro and in vivo studies, clinical evidence supporting its use and efficacy in treating metastatic cancer is currently limited. This report highlights 3 cases of patients with advanced cancer - including breast, prostate, and melanoma. Two patients achieved complete remission, and one achieved near-complete remission after incorporating FBZ into their treatment regimens alongside other therapies (excluding chemotherapy). All three patients tolerated FBZ without any reported adverse effects, and remission was sustained during follow-up periods ranging from 11 months to nearly 3 years. FBZ demonstrates potential as a novel promising therapeutic option for repurposing in on",,,auto_pubmed,scipeerai_collector_v1,pmid:40605964
SPB-0002,10.1038/s41564-025-01985-x,Metabolic remodelling produces fumarate via the aspartate-argininosuccinate shunt in macrophages as an antiviral defence.,"Xia Wenjun, Mao Youxiang, Xia Ziyan, Cheng Jie, Jiang Peng",2025,Nature microbiology,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,"Metabolic remodelling underpins macrophage effector functions in response to various stimuli, but the mechanisms involved are unclear. Here we report that viral-infection-induced inflammatory stimulation causes a rewiring of the urea cycle and the tricarboxylic acid cycle metabolism in macrophages to form a cyclic pathway called the aspartate-argininosuccinate (AAS) shunt. Using RNA sequencing, unbiased metabolomics and stable isotope tracing, we found that fumarate generated from the AAS shunt is driven by argininosuccinate synthase (ASS1) in the cytosol and potentiates inflammatory effects. Genetic ablation of ASS1 reduces intracellular fumarate levels and interferon-β production, and mitochondrial respiration is also suppressed. Notably, viral challenge or fumarate esters enhance interferon-β production via direct succination of the mitochondrial antiviral signalling protein and activation of the retinoic acid-inducible gene-I-like receptor signalling. In addition to the vesicular s",,,auto_pubmed,scipeerai_collector_v1,pmid:40251448
SPB-0003,10.1016/j.jinf.2025.106530,REMOVED: Ivermectin and COVID-19.,"Butler Christopher C, Hobbs F D Richard, Little Paul, Richards Duncan, Saville Benjamin R, et al.",2025,The Journal of infection,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,,,,auto_pubmed,scipeerai_collector_v1,pmid:40494426
SPB-0004,10.1016/j.neurol.2025.01.160,[Not Available].,"Thezenas Jérémie, Ouederni Anaïs",2025,Revue neurologique,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,,,,auto_pubmed,scipeerai_collector_v1,pmid:40246339
SPB-0005,10.1002/jcsm.13779,Nestin Regulates Autophagy-Dependent Ferroptosis Mediated Skeletal Muscle Atrophy by Ubiquitinating MAP 1LC3B.,"Han Shunshun, Zhao Xiyu, Yu Chunlin, Cui Can, Zhang Yao, et al.",2025,"Journal of cachexia, sarcopenia and muscle",pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,"Programmed cell death plays a critical role in skeletal muscle atrophy. Ferroptosis, an iron-dependent form of programmed cell death driven by lipid peroxidation, has been implicated in various diseases, but its role in skeletal muscle atrophy remains unclear. Ferroptosis in skeletal muscle atrophy was investigated using two models: dexamethasone (Dex)-induced atrophy (n = 6 independent cell cultures per group) and simulated microgravity (n = 6 mice per group). Conditional Nestin knockout (KO) mice were generated using CRISPR/Cas9 (n = 6-8 mice per group), with wild-type (WT) controls (n = 6-8). Phenotypic analyses included histopathology (HE staining), functional assessments (muscle strength, weight analysis, treadmill), and dystrophy evaluation (dystrophin staining). Molecular analyses involved flow cytometry, ELISA, transmission electron microscopy, PI staining, and IP/MS to delineate Nestin-regulated ferroptosis pathways in skeletal muscle atrophy. Ferroptosis was significantly act",,,auto_pubmed,scipeerai_collector_v1,pmid:40183241
SPB-0006,10.1186/s12943-025-02300-2,Circular RNA circDCUN1D4 suppresses hepatocellular carcinoma development via targeting the miR-590-5p/ TIMP3 axis.,"Li Hongyu, Su Bing, Jiang Yan, Zhang Boyang, Du Rulong, et al.",2025,Molecular cancer,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,"Hepatocellular carcinoma (HCC) is a major global health concern, necessitating innovative therapeutic strategies. In this study, we investigated the functional role of circular RNA circDCUN1D4 in HCC progression and its potential therapeutic implications. It was found that HCC patients exhibiting higher levels of circDCUN1D4 demonstrated a more favorable survival rate. Furthermore, we revealed that circDCUN1D4 suppressed HCC cell proliferation, migration, and invasion. Mechanistically, circDCUN1D4 was identified as a sponge for miR-590-5p, leading to the downregulation of its downstream target, Tissue Inhibitor of Metalloproteinase 3 (TIMP3). Importantly, circDCUN1D4 administration through In vivo jet-PEI exhibited a robust inhibitory effect on tumor progression without causing notable toxicity in mice. Overall, our findings highlight circDCUN1D4 as a promising therapeutic candidate for HCC, unraveling its intricate regulatory role through the miR-590-5p/TIMP3 axis. This study contribu",,,auto_pubmed,scipeerai_collector_v1,pmid:40128740
SPB-0007,10.1186/s13018-024-05429-w,A meta-analysis and systematic review of the clinical efficacy and safety of platelet-rich plasma combined with hyaluronic acid (PRP + HA) versus PRP monotherapy for knee osteoarthritis (KOA).,"Du Dan, Liang Yuan",2025,Journal of orthopaedic surgery and research,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,"KOA, a chronic degenerative joint disease, is commonly treated with intra-articular HA and PRP, used alone or in combination. However, the efficacy and safety of combination therapy (PRP + HA) remain unclear. The aim of this systematic review and meta-analysis is to assess the clinical effectiveness and safety profile of PRP + HA versus PRP monotherapy for KOA. A systematic search was conducted using four electronic databases (PubMed, EMBASE, Scopus, and Cochrane Library) to select publications published in peer-reviewed journals. The mean difference (MD) and risk ratio (RR) was calculated, along with their 95% confidence intervals. We assessed heterogeneity using Cochrane Q and I<sup>2</sup>statistics and the appropriate p-value. The analysis used RevMan 5.4. GRADE system was used for evidence assessment for each outcome parameter. This meta-analysis of 11 RCTs (n = 1023 KOA patients) revealed that PRP + HA has substantial effectiveness than PRP alone in reducing OMAC total scores [MD",,,auto_pubmed,scipeerai_collector_v1,pmid:39819683
SPB-0008,10.1016/j.idcr.2025.e02278,"Post spike syndrome (PSS): Simple solution leading to resolving results, five cases report.","Zeballos Roberto S, da Silva Helbingen Mariely Fernanda, Melo Paulo Macio Porto, Alves Francisco Eduardo Cardoso, Salvino Caio Roberto, et al.",2025,IDCases,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,"Post-Spike Syndrome (PSS) is an emerging condition associated with the Spike protein, originating from both SARS-CoV-2 infection and mRNA-based therapies. This case series explores the significant clinical impact of PSS, characterized By gut dysbiosis, systemic inflammation, and immune activation, leading to multisystem manifestations such as fatigue, brain fog, neuropathies, and reactivation of pre-existing diseases. A simple therapeutic approach was applied to five patients, resulting in notable symptom improvement. This case series includes five patients diagnosed with interstitial granulomatous dermatitis, polymyalgia rheumatica, peripheral polyneuropathy, drug-refractory epilepsy, and trigeminal neuralgia. A common pathophysiological mechanism-vasculitis triggered by both SARS-CoV-2 and mRNA-based therapies-was hypothesised. The patients exhibited a satisfactory response to the proposed therapeutic strategy. This is an observational and descriptive study, with data collected retro",,,auto_pubmed,scipeerai_collector_v1,pmid:40671933
SPB-0009,10.1136/bmj-2024-083382,Prevention of acute myocardial infarction induced heart failure by intracoronary infusion of mesenchymal stem cells: phase 3 randomised clinical trial (PREVENT-TAHA8).,"Attar Armin, Mirhosseini Seyed Alireza, Mathur Anthony, Dowlut Sheik, Monabati Ahmad, et al.",2025,BMJ (Clinical research ed.),pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,"To assess the effect of intracoronary infusion of mesenchymal stem cells on the development of post-myocardial infarction heart failure. Phase 3 randomised clinical trial. Three tertiary hospitals in Shiraz, Iran. 420 patients with a first ST segment elevation acute myocardial infarction and left ventricular ejection fraction <40% were enrolled and randomised in a 1:2 ratio to receive intervention or standard care. Intracoronary infusion of allogenic Wharton's jelly derived mesenchymal stem cells within 3-7 days of acute myocardial infarction in addition to standard care. The primary endpoint was incidence of heart failure. Secondary endpoints included readmission to hospital for heart failure, all cause mortality, cardiovascular mortality, and readmission to hospital for myocardial infarction. Changes in left ventricular ejection fraction within six months post-myocardial infarction were compared between groups. A total of 396 patients (136 in the intervention group and 260 in the con",,,auto_pubmed,scipeerai_collector_v1,pmid:41224473
SPB-0010,10.1093/jbmr/zjaf010,"RETRACTED: Comparative cardiovascular safety of romosozumab versus bisphosphonates in Japanese patients with osteoporosis: a new-user, active comparator design with instrumental variable analyses.","Tominaga Ryoji, Ikenoue Tatsuyoshi, Ishii Ryosuke, Niihata Kakuya, Aita Tetsuro, et al.",2026,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,,,,auto_pubmed,scipeerai_collector_v1,pmid:39823291
