paper_id,doi,title,authors,year,journal,source_db,category,is_fraud,fraud_confidence,fraud_types,retraction_date,retraction_reason,pubpeer_url,stat_audit_score,figure_forensics_score,methodology_score,citation_score,reproducibility_score,novelty_score,grim_score,sprite_score,granularity_score,pcurve_score,effect_size_score,retraction_score,cartel_score,llm_score,overall_risk_score,abstract_text,full_text_path,field_of_study,labeling_method,labeled_by,notes
SPB-0001,10.1159/000546362,Fenbendazole as an Anticancer Agent? A Case Series of Self-Administration in Three Patients.,"Makis William, Baghli Ilyes, Martinez Pierrick",2025,Case reports in oncology,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,"Fenbendazole (FBZ), an inexpensive and widely accessible antiparasitic drug used in veterinary medicine, has garnered growing interest for its potential as an anticancer therapy. Preclinical studies suggest that FBZ exerts its anticancer effects through a wide variety of mechanisms. While FBZ has shown promise both in vitro and in vivo studies, clinical evidence supporting its use and efficacy in treating metastatic cancer is currently limited. This report highlights 3 cases of patients with advanced cancer - including breast, prostate, and melanoma. Two patients achieved complete remission, and one achieved near-complete remission after incorporating FBZ into their treatment regimens alongside other therapies (excluding chemotherapy). All three patients tolerated FBZ without any reported adverse effects, and remission was sustained during follow-up periods ranging from 11 months to nearly 3 years. FBZ demonstrates potential as a novel promising therapeutic option for repurposing in on",,,auto_pubmed,scipeerai_collector_v1,pmid:40605964
SPB-0002,10.1038/s41564-025-01985-x,Metabolic remodelling produces fumarate via the aspartate-argininosuccinate shunt in macrophages as an antiviral defence.,"Xia Wenjun, Mao Youxiang, Xia Ziyan, Cheng Jie, Jiang Peng",2025,Nature microbiology,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,"Metabolic remodelling underpins macrophage effector functions in response to various stimuli, but the mechanisms involved are unclear. Here we report that viral-infection-induced inflammatory stimulation causes a rewiring of the urea cycle and the tricarboxylic acid cycle metabolism in macrophages to form a cyclic pathway called the aspartate-argininosuccinate (AAS) shunt. Using RNA sequencing, unbiased metabolomics and stable isotope tracing, we found that fumarate generated from the AAS shunt is driven by argininosuccinate synthase (ASS1) in the cytosol and potentiates inflammatory effects. Genetic ablation of ASS1 reduces intracellular fumarate levels and interferon-β production, and mitochondrial respiration is also suppressed. Notably, viral challenge or fumarate esters enhance interferon-β production via direct succination of the mitochondrial antiviral signalling protein and activation of the retinoic acid-inducible gene-I-like receptor signalling. In addition to the vesicular s",,,auto_pubmed,scipeerai_collector_v1,pmid:40251448
SPB-0003,10.1016/j.jinf.2025.106530,REMOVED: Ivermectin and COVID-19.,"Butler Christopher C, Hobbs F D Richard, Little Paul, Richards Duncan, Saville Benjamin R, et al.",2025,The Journal of infection,pubmed_retracted,CONFIRMED_FRAUD,1,0.7,FAB-01,,Retraction notice found in PubMed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,,,,auto_pubmed,scipeerai_collector_v1,pmid:40494426
SPB-0288,10.3390/nu14020348,The Role of Diet in Prognosis among Cancer Survivors: A Systematic Review and Meta-Analysis of Dietary Patterns and Diet Interventions.,"Castro-Espin Carlota, Agudo Antonio",2022,Nutrients,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Cancer survival continues to improve in high-income countries, partly explained by advances in screening and treatment. Previous studies have mainly examined the relationship between individual dietary components and cancer prognosis in tumours with good therapeutic response (breast, colon and prostate cancers). The aim of this review is to assess qualitatively (and quantitatively where appropriate) the associations of dietary patterns and cancer prognosis from published prospective cohort studies, as well as the effect of diet interventions by means of randomised controlled trials (RCT). A systematic search was conducted in PubMed, and a total of 35 prospective cohort studies and 14 RCT published between 2011 and 2021 were selected. Better overall diet quality was associated with improved survival among breast and colorectal cancer survivors; adherence to the Mediterranean diet was associated to lower risk of mortality in colorectal and prostate cancer survivors. A meta-analysis using",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:35057525
SPB-0289,10.1161/CIRCULATIONAHA.121.056355,Direct Oral Anticoagulants Versus Warfarin in Patients With Atrial Fibrillation: Patient-Level Network Meta-Analyses of Randomized Clinical Trials With Interaction Testing by Age and Sex.,"Carnicelli Anthony P, Hong Hwanhee, Connolly Stuart J, Eikelboom John, Giugliano Robert P, et al.",2022,Circulation,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"Direct oral anticoagulants (DOACs) are preferred over warfarin for stroke prevention in atrial fibrillation. Meta-analyses using individual patient data offer substantial advantages over study-level data. We used individual patient data from the COMBINE AF (A Collaboration Between Multiple Institutions to Better Investigate Non-Vitamin K Antagonist Oral Anticoagulant Use in Atrial Fibrillation) database, which includes all patients randomized in the 4 pivotal trials of DOACs versus warfarin in atrial fibrillation (RE-LY [Randomized Evaluation of Long-Term Anticoagulation Therapy], ROCKET AF [Rivaroxaban Once Daily Oral Direct Factor Xa Inhibition Compared With Vitamin K Antagonism for Prevention of Stroke and Embolism Trial in Atrial Fibrillation], ARISTOTLE [Apixaban for Reduction in Stroke and Other Thromboembolic Events in Atrial Fibrillation], and ENGAGE AF-TIMI 48 [Effective Anticoagulation With Factor Xa Next Generation in Atrial Fibrillation-Thrombolysis in Myocardial Infarction",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:34985309
SPB-0290,10.1037/ocp0000146,A systematic review and meta-analysis of workplace mindfulness training randomized controlled trials.,"Bartlett Larissa, Martin Angela, Neil Amanda L, Memish Kate, Otahal Petr, et al.",2019,Journal of occupational health psychology,pubmed_clean,CLEAN,0,0.05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,"This meta-analytic review responds to promises in the research literature and public domain about the benefits of workplace mindfulness training. It synthesizes randomized controlled trial evidence from workplace-delivered training for changes in mindfulness, stress, mental health, well-being, and work performance outcomes. Going beyond extant reviews, this article explores the influence of variability in workforce and intervention characteristics for reducing perceived stress. Meta-effect estimates (Hedge's g) were computed using data from 23 studies. Results indicate beneficial effects following training for mindfulness (g = 0.45, p < .001) and stress (g = 0.56, p < .001), anxiety (g = 0.62, p < .001) and psychological distress (g = 0.69, p < .001), and for well-being (g = 0.46, p = .002) and sleep (g = 0.26, p = .003). No conclusions could be drawn from pooled data for burnout due to ambivalence in results, for depression due to publication bias, or for work performance due to insuf",,medicine,auto_pubmed_clean,scipeerai_collector_v1,pmid:30714811
SPB-0511,10.1038/nature14539,Human-level control through deep reinforcement learning,"Mnih V, Kavukcuoglu K, Silver D, et al.",2015,Nature,elite_manual,BASELINE_ELITE,0,0.01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,computer science,manual_verified,scipeerai_collector_v1,DeepMind DQN — most cited RL paper
SPB-0512,10.1145/3065386,ImageNet classification with deep convolutional neural networks,"Krizhevsky A, Sutskever I, Hinton G",2012,Communications of the ACM,elite_manual,BASELINE_ELITE,0,0.01,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,,computer science,manual_verified,scipeerai_collector_v1,AlexNet — launched deep learning era
SPB-0521,10.1159/000548698,Expression of Concern.,Unknown,2025,Neuroimmunomodulation,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41363674 — expression of concern
SPB-0522,10.1177/09287329251392360,Expression of concern.,Unknown,2025,Technology and health care : official journal of the European Society for Engineering and Medicine,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41223024 — expression of concern
