paper_id,doi,title,authors,year,journal,source_db,category,is_fraud,fraud_confidence,fraud_types,retraction_date,retraction_reason,pubpeer_url,stat_audit_score,figure_forensics_score,methodology_score,citation_score,reproducibility_score,novelty_score,grim_score,sprite_score,granularity_score,pcurve_score,effect_size_score,retraction_score,cartel_score,llm_score,overall_risk_score,abstract_text,full_text_path,field_of_study,labeling_method,labeled_by,notes
SPB-0525,10.1159/000548698,Expression of Concern.,Unknown,2025,Neuroimmunomodulation,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41363674 — expression of concern
SPB-0526,10.1159/000549719,Expression of Concern.,Unknown,2026,Chemotherapy,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41563927 — expression of concern
SPB-0527,10.1159/000548461,Expression of Concern.,Unknown,2026,International archives of allergy and immunology,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41231741 — expression of concern
SPB-0528,10.1080/19336950.2025.2570092,Expression of Concern.,Unknown,2025,"Channels (Austin, Tex.)",pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41065763 — expression of concern
SPB-0529,10.1080/14712598.2025.2596474,Expression of Concern.,Unknown,2025,Expert opinion on biological therapy,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41404834 — expression of concern
SPB-0530,10.1016/j.biopsych.2025.09.009,Expression of Concern.,Unknown,2025,Biological psychiatry,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41238290 — expression of concern
SPB-0531,10.1177/09287329251392360,Expression of concern.,Unknown,2025,Technology and health care : official journal of the European Society for Engineering and Medicine,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41223024 — expression of concern
SPB-0532,10.1177/10445498261435664,Expression of Concern.,Unknown,2026,DNA and cell biology,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41882964 — expression of concern
SPB-0533,10.1002/ijgo.70756,Expression of Concern.,Unknown,2026,International journal of gynaecology and obstetrics: the official organ of the International Federation of Gynaecology and Obstetrics,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41437141 — expression of concern
SPB-0534,10.1302/2046-3758.151.BJR-2026-00002,Expression of Concern.,"Zhang Hongbo, Li Ziyang, Zhang Zhicheng, Li Haobin, Yao Zihao, et al.",2026,Bone & joint research,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41575261 — expression of concern
SPB-0535,10.26355/eurrev_202512_37562,"Expression of Concern on ""Effects of inositol on ovarian function and metabolic factors in women with PCOS: a randomized double blind placebo-controlled trial"".",Unknown,2025,European review for medical and pharmacological sciences,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,"The Editor in Chief and the Publisher are issuing an expression of concern regarding the following article: Gerli S, Mignosa M, Di Renzo GC. Effects of inositol on ovarian function and metabolic factors in women with PCOS: a randomized double blind placebo-controlled trial. Eur Rev Med Pharmacol Sci 2003; 7(6): 151-159-PMID: 15206484. This Expression of Concern is issued following a whistleblower's report regarding errors in the study protocol and results, as well as ethical concerns. The authors have informed the journal that the original data are no longer available due to the 22 years that have elapsed since the article's publication. In the absence of these data, we are issuing this Expression of Concern to alert readers that concerns have been raised about this article. The Publisher apologizes for any inconvenience this may cause. https://www.europeanreview.org/article/94.",,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41489236 — expression of concern
SPB-0536,10.1172/JCI200302,Expression of Concern for JAK2-binding long noncoding RNA promotes breast cancer brain metastasis.,"Wang Shouyu, Liang Ke, Hu Qingsong, Li Ping, Song Jian, et al.",2025,The Journal of clinical investigation,pubmed_expression_of_concern,SUSPECTED_FRAUD,0,0.62,STAT-01,,Expression of concern issued by journal,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.62,,,,auto_pubmed_eoc,scipeerai_collector_v1,pmid:41031879 — expression of concern
